Unnamed: 0,id,start_x,start_y,minute,blocked_x,blocked_y,shot_outcome,player,is_own_goal,match_id,date,area,from_throw_in,shot_type,from_corner,from_freekick,from_open_play,from_fastbreak,from_penalty,from_setpiece,from_cross_open_play,shot_on_post,angulo_de_tiro,distancia_de_tiro
40503,2190075615.0,23.3,47.4,85.0,,,Goal,Matías Nani,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0613567396458233,76.7440551443563
41456,2314020429.0,3.7,39.7,2.0,,,Goal,Juan Cruz Komar,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0171793983106843,96.84926432348362
41597,2314622889.0,0.6000000000000001,53.2,87.0,,,Goal,Lucas Acosta,1.0,,,Outside of the box,False,Other,False,False,True,False,False,False,False,False,0.0015589910486495,99.45149571524804
41959,2316459679.0,2.7,48.7,20.0,,,Goal,Federico Gattoni,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.008354612145085,97.30868409345592
41985,2317105355.0,4.4,45.5,72.0,,,Goal,Miguel Torrén,1.0,,,Outside of the box,False,Head,False,False,False,False,False,True,False,False,0.0155116045678767,95.7058514407557
42381,2319643637.0,2.4,41.9,54.0,,,Goal,Ignacio Scocco,1.0,,,Outside of the box,False,Foot,True,False,False,False,False,False,False,False,0.0100501520545605,97.93554002505934
42599,2321505331.0,4.5,53.2,14.0,,,Goal,Elías López,1.0,,,Outside of the box,False,Head,False,False,True,False,False,False,False,False,0.0116099485383929,95.55359752515862
42583,2321535063.0,9.5,46.5,55.0,,,Goal,Gonzalo Bettini,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0310470806409189,90.56765427016424
43259,2325420173.0,6.5,51.1,81.0,,,Goal,Néstor Breitenbruch,1.0,,,Outside of the box,False,Other,False,False,True,False,False,False,False,False,0.018020336788166,93.506470364355
43376,2325688583.0,1.8,52.4,27.0,,,Goal,Mariano Andújar,1.0,,,Outside of the box,False,Other,True,False,False,False,False,False,False,False,0.0048164486478551,98.22932352408826
43630,2326894301.0,4.1,47.4,90.0,,,Goal,Fernando Torrent,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0133368420482676,95.9352385726955
44147,2331884165.0,3.3,47.2,57.0,,,Goal,Lisandro López,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0108545714711658,96.7405292522219
44330,2332539697.0,5.3,47.0,75.0,,,Goal,Emiliano Méndez,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0174448721046559,94.7475065634975
44558,2335899279.0,0.8,49.3,23.0,,,Goal,Thomas Ortega,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0024220975424253,99.2024697273208
44677,2337568487.0,3.2,55.7,29.0,,,Goal,Emanuel Brítez,1.0,,,Outside of the box,False,Other,False,False,True,False,False,False,False,False,0.0075576078610158,96.9676750262684
45127,2340701703.0,1.7,50.9,17.0,,,Goal,Gustavo Canto,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0048226494230232,98.3041199543539
50285,2344232761.0,1.6,46.0,93.0,,,Goal,Luis Unsain,1.0,,,Outside of the box,False,Other,False,False,False,False,False,True,False,False,0.0055634035827572,98.48126725423472
50416,2344512939.0,7.2,47.8,3.0,,,Goal,Agustín Rogel,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0226812361133921,92.82607392322484
50661,2346742459.0,1.2,46.6,28.0,,,Goal,Leonardo Burián,1.0,,,Outside of the box,False,Other,False,False,True,False,False,False,False,False,0.0040673891755941,98.85848471426212
51472,2353442507.0,7.0,54.9,16.0,,,Goal,Francisco Ortega,1.0,,,Outside of the box,False,Other,False,False,True,False,False,False,False,False,0.0168005433533666,93.12899655853704
51646,2356243453.0,4.3,44.3,90.0,,,Goal,Alexis Maldonado,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.015995916298741,95.86959893522034
51870,2357864873.0,1.3,53.2,1.0,,,Goal,Leonardo Burián,1.0,,,Outside of the box,False,Head,False,False,False,False,False,True,False,False,0.003376209934851,98.75186074196272
51967,2358358743.0,3.1,47.8,55.0,,,Goal,Francisco Gerometta,1.0,,,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0099477029069884,96.92497098271426
52605,2361240051.0,2.5,48.4,35.0,,,Goal,Alexis Maldonado,1.0,,,Outside of the box,False,Head,False,False,True,False,False,False,False,False,0.0078357080733546,97.51312732140222
53666,2429089415.0,6.5,47.4,75.0,,,Goal,Mario López,1.0,1636634.0,2022-06-1,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0209055929172902,93.53614274706864
53774,2429098777.0,7.9,48.1,60.0,,,Goal,Lautaro Blanco,1.0,1636621.0,2022-06-11,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.024471285501737,92.119596178012
54248,2430100123.0,3.6,29.7,33.0,,,Goal,Nicolás Figal,1.0,1636608.0,2022-06-16,Outside of the box,False,Other,False,False,True,False,False,False,False,False,0.0298803667955515,98.51421217266066
54256,2430107395.0,4.4,46.2,58.0,,,Goal,Nicolás Demartini,1.0,1636608.0,2022-06-16,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0150464881156194,95.67549320489547
54346,2430479145.0,3.5,53.6,56.0,,,Goal,Gonzalo Goñi,1.0,1636660.0,2022-06-18,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0089209526751404,96.5671269118016
54418,2430526211.0,3.8,54.2,58.0,,,Goal,Raúl Lozano,1.0,1636656.0,2022-06-19,Outside of the box,False,Foot,False,False,False,False,False,True,False,False,0.0094651774516562,96.29164034328214
54682,2431564201.0,43.8,93.6,12.0,,,Goal,Luciano Abecasis,1.0,1636677.0,2022-06-24,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0300505674703568,71.1294594384071
54867,2432160289.0,1.7,49.4,71.0,,,Goal,Rufino Lucero,1.0,1636663.0,2022-06-26,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0051212497380043,98.30183111214154
55470,2435394143.0,3.7,45.8,40.0,,,Goal,Marcos Ledesma,1.0,1636682.0,2022-07-1,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0129091240926543,96.39154527239408
56899,2440652055.0,6.8,56.9,64.0,,,Goal,Santiago Hezze,1.0,1636766.0,2022-07-31,Outside of the box,False,Foot,True,False,False,False,False,False,False,False,0.0152187283432682,93.4550694184109
57551,2445048953.0,1.9,51.6,37.0,,,Goal,Sebastián Meza,1.0,1636772.0,2022-08-12,Outside of the box,False,Head,False,False,True,False,False,False,False,False,0.005242764922627,98.1130470426844
57623,2445089171.0,7.9,56.0,64.0,,,Goal,Nicolás Castro,1.0,1636779.0,2022-08-13,Outside of the box,False,Head,False,False,True,False,False,False,False,False,0.018154281160028,92.2952328129682
57909,2447464809.0,4.1,46.4,25.0,,,Goal,Franco Ortellado,1.0,1636797.0,2022-08-17,Outside of the box,False,Head,True,False,False,False,False,False,False,False,0.0139169071925553,95.96754659779523
58632,2452556963.0,7.3,46.4,35.0,,,Goal,Paolo Goltz,1.0,1636820.0,2022-08-28,Outside of the box,False,Foot,False,False,False,False,False,True,False,False,0.0243634172902967,92.76987657639737
58879,2455419885.0,1.0,48.4,89.0,,,Goal,Federico Lanzillota,1.0,1636828.0,2022-09-03,Outside of the box,False,Head,True,False,False,False,False,False,False,False,0.003141398916368,99.0129284487637
59454,2458847843.0,7.2,55.2,29.0,,,Goal,Oscar Piris,1.0,1636860.0,2022-09-11,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0170796115786664,92.9455754729616
59370,2458848497.0,5.8,46.6,30.0,,,Goal,Ignacio Gariglio,1.0,1636861.0,2022-09-11,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0193679195193094,94.26133884048116
59587,2459897807.0,3.1,42.4,10.0,,,Goal,Martín Cauteruccio,1.0,1636865.0,2022-09-14,Outside of the box,False,Foot,False,False,False,False,False,True,False,False,0.0126483353917634,97.19758227445784
59862,2461442815.0,1.4,52.6,59.0,,,Goal,Diego Rodríguez,1.0,1636890.0,2022-09-17,Outside of the box,False,Other,True,False,False,False,False,False,False,False,0.0037193271126557,98.63427396194488
61151,2467788225.0,8.0,54.9,64.0,,,Goal,Juan Insaurralde,1.0,1636939.0,2022-10-06,Outside of the box,False,Foot,True,False,False,False,False,False,False,False,0.0191061146796008,92.13039672116906
61374,2469352489.0,3.0,46.6,74.0,,,Goal,Ramiro González,1.0,1636925.0,2022-10-09,Outside of the box,False,Foot,False,False,False,False,False,True,False,False,0.0101327100229169,97.05956933759803
61574,2470459417.0,6.5,47.6,40.0,,,Goal,Iván Ramírez,1.0,1636962.0,2022-10-11,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0207325390144848,93.53079706706237
62066,2473609349.0,1.0,47.4,79.0,,,Goal,Rodrigo Saracho,1.0,1636952.0,2022-10-17,Outside of the box,False,Other,False,False,True,False,False,False,False,False,0.0032760877375548,99.03413552911944
62192,2474045603.0,12.1,56.7,16.0,,,Goal,Paolo Goltz,1.0,1636955.0,2022-10-18,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0264497828287996,88.15497717088923
62541,2476633307.0,4.6,53.8,26.0,,,Goal,Walter Pérez,1.0,1636976.0,2022-10-23,Outside of the box,False,Head,False,False,True,False,False,False,False,False,0.011601694644144,95.47565134629878
62887,2501765151.0,2.3,47.9,55.0,,,Goal,Ángelo Martino,1.0,1694365.0,2023-01-28,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0073637157379722,97.7225664828754
63455,2505060227.0,5.6,46.8,80.0,,,Goal,Guillermo Soto,1.0,1703075.0,2023-02-07,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.018561367014401,94.45422171613085
63678,2506767231.0,12.1,55.9,54.0,,,Goal,Ezequiel Fernández,1.0,1703101.0,2023-02-12,Outside of the box,False,Foot,False,False,False,True,False,False,False,False,0.0271807733892912,88.09778657832443
64467,2514802073.0,7.0,48.8,85.0,,,Goal,Carlos Quintana,1.0,1703159.0,2023-03-03,Outside of the box,False,Foot,True,False,False,False,False,False,False,False,0.021196270137133,93.00774161326572
64708,2516309111.0,12.0,59.9,28.0,,,Goal,Francisco Pizzini,1.0,1703196.0,2023-03-06,Outside of the box,False,Head,False,False,False,False,False,True,False,False,0.023617309628262,88.55512407534643
65504,2525972297.0,8.2,53.4,95.0,,,Goal,Braian Salvareschi,1.0,1703236.0,2023-03-31,Outside of the box,False,Foot,False,False,True,False,False,False,False,False,0.0206564919260261,91.8629413855228
